"INDEX_SCHEMA"|"INDEX_NAME"|"index_columns"|"INDEX_TYPE"|"is_unique"|"TABLE_NAME"
DSTAIRLINES|AIRPORTS_AIRPORT_ID_IDX|AIRPORT_ID|BTREE|Not Unique|AIRPORTS
DSTAIRLINES|CITIES_FK|CITY_COUNTRY_FK|BTREE|Not Unique|CITIES
DSTAIRLINES|CITY_ID_FK|CITY_ID_FK|BTREE|Not Unique|AIRPORTS
DSTAIRLINES|FLIGHTS_SCHEDULES_PASSENGER_FK|FSP_AIRLINE_FK|BTREE|Not Unique|FLIGHTS_SCHEDULES_PASSENGER
DSTAIRLINES|FLIGHTS_SCHEDULES_PASSENGER_LEGS_FK|FSPL_ORIGIN_AIRPORT_FK|BTREE|Not Unique|FLIGHTS_SCHEDULES_PASSENGER_LEGS
DSTAIRLINES|FLIGHTS_SCHEDULES_PASSENGER_LEGS_FK_1|FSPL_DESTINATION_AIRPORT_FK|BTREE|Not Unique|FLIGHTS_SCHEDULES_PASSENGER_LEGS
DSTAIRLINES|idx_fsp_1|FSP_AIRLINE_FK,FSP_FLIGHT_NUMBER|BTREE|Not Unique|FLIGHTS_SCHEDULES_PASSENGER
DSTAIRLINES|idx_fspl_1|FSPL_ORIGIN_AIRPORT_FK,FSPL_DESTINATION_AIRPORT_FK,FSPL_DEPARTURE_TIME_UTC|BTREE|Not Unique|FLIGHTS_SCHEDULES_PASSENGER_LEGS
DSTAIRLINES|idx_ofs_1|OFS_DEPARTURE_AIRPORT_FK,OFS_ARRIVAL_AIRPORT_FK,OFS_DEPARTURE_SCHEDULED_TIME_UTC,OFS_OPERATING_CARRIER_AIRLINE_FK,OFS_OPERATING_CARRIER_FLIGHT_NUMBER|BTREE|Not Unique|OPERATIONS_FLIGHTS_STATUS
DSTAIRLINES|OFS_ARRIVAL_AIRPORT_FK|OFS_ARRIVAL_AIRPORT_FK|BTREE|Not Unique|OPERATIONS_FLIGHTS_STATUS
DSTAIRLINES|OFS_ARRIVAL_FTS_FK|OFS_ARRIVAL_FTS_FK|BTREE|Not Unique|OPERATIONS_FLIGHTS_STATUS
DSTAIRLINES|OFS_DEPARTURE_FTS_FK|OFS_DEPARTURE_FTS_FK|BTREE|Not Unique|OPERATIONS_FLIGHTS_STATUS
DSTAIRLINES|OFS_FTS_FK|OFS_FTS_FK|BTREE|Not Unique|OPERATIONS_FLIGHTS_STATUS
DSTAIRLINES|OFS_MARKETING_CARRIER_AIRLINE_FK|OFS_MARKETING_CARRIER_AIRLINE_FK|BTREE|Not Unique|OPERATIONS_FLIGHTS_STATUS
DSTAIRLINES|PRIMARY|AIRCRAFT_ID|BTREE|Unique|AIRCRAFT
DSTAIRLINES|PRIMARY|AIRLINE_ID|BTREE|Unique|AIRLINES
DSTAIRLINES|PRIMARY|AIRPORT_ID|BTREE|Unique|AIRPORTS
DSTAIRLINES|PRIMARY|CITY_ID|BTREE|Unique|CITIES
DSTAIRLINES|PRIMARY|COUNTRY_ID|BTREE|Unique|COUNTRIES
DSTAIRLINES|PRIMARY|FSP_ID|BTREE|Unique|FLIGHTS_SCHEDULES_PASSENGER
DSTAIRLINES|PRIMARY|FSPL_ID|BTREE|Unique|FLIGHTS_SCHEDULES_PASSENGER_LEGS
DSTAIRLINES|PRIMARY|FTS_ID|BTREE|Unique|FLIGHT_TIME_STATUS
DSTAIRLINES|PRIMARY|OFS_ID|BTREE|Unique|OPERATIONS_FLIGHTS_STATUS
